,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
20,2020-04-02,Norway,"4,877",+236,44 ,+5,13,"4,820",105,900,8,"
Feb 25 "
21,2020-04-02,Czechia,"3,589",+281,39 ,+8,61,"3,489",70,335,4,"
Feb 29 "
22,2020-04-02,Ireland,"3,447",+212,85 ,+14,5,"3,357",103,698,17,"
Feb 28 "
23,2020-04-02,Denmark,"3,107",+247,104 ,+14,894,"2,109",145,536,18,"
Feb 26 "
24,2020-04-02,Chile,"3,031",+293,16 ,+4,234,"2,781",31,159,0.8,"
Mar 02 "
25,2020-04-02,Malaysia,"2,908",+142,45 ,+2,645,"2,218",102,90,1,"
Jan 24 "
26,2020-04-02,Russia,"2,777",+440,24 ,+7,190,"2,563",8,19,0.2,"
Jan 30 "
27,2020-04-02,Ecuador,"2,758",+456,98 ,+19,58,"2,602",100,156,6,"
Feb 28 "
28,2020-04-02,Poland,"2,554",+243,43 ,+10,56,"2,455",50,67,1,"
Mar 03 "
29,2020-04-02,Romania,"2,460",+215,92 ,+10,252,"2,116",57,128,5,"
Feb 25 "
30,2020-04-02,Japan,"2,384",+206,57 ,,472,"1,855",69,19,0.5,"
Jan 14 "
31,2020-04-02,Luxembourg,"2,319",+141,29 ,+6,80,"2,210",31,"3,705",46,"
Feb 28 "
32,2020-04-02,Philippines,"2,311",+227,96 ,+8,50,"2,165",1,21,0.9,"
Jan 29 "
33,2020-04-02,Pakistan,"2,118",+180,27 ,+1,94,"1,997",12,10,0.1,"
Feb 25 "
34,2020-04-02,India,"1,998",+601,58 ,+23,148,"1,792",,1,0.04,"
Jan 29 "
35,2020-04-02,Thailand,"1,771",+120,12 ,+2,505,"1,254",23,25,0.2,"
Jan 12 "
36,2020-04-02,Saudi Arabia,"1,720",+157,16 ,+6,264,"1,440",31,49,0.5,"
Mar 01 "
37,2020-04-02,Indonesia,"1,677",+149,157 ,+21,103,"1,417",,6,0.6,"
Mar 01 "
38,2020-04-02,Finland,"1,446",+28,17 ,,10,"1,419",62,261,3,"
Jan 28 "
39,2020-04-02,Greece,"1,415",+101,51 ,+2,52,"1,312",90,136,5,"
Feb 25 "
40,2020-04-02,South Africa,"1,380",+27,5 ,,50,"1,325",7,23,0.08,"
Mar 04 "
41,2020-04-02,Peru,"1,323",+258,38 ,+8,394,891,49,40,1,"
Mar 05 "
42,2020-04-02,Panama,"1,317",+136,32 ,+2,9,"1,276",50,305,7,"
Mar 09 "
43,2020-04-02,Dominican Republic,"1,284",+175,57 ,+6,9,"1,218",,118,5,"
Feb 29 "
44,2020-04-02,Iceland,"1,220",+85,2 ,,236,982,12,"3,575",6,"
Feb 27 "
45,2020-04-02,Mexico,"1,215",+121,29 ,+1,35,"1,151",1,9,0.2,"
Feb 27 "
46,2020-04-02,Argentina,"1,133",+79,32 ,+5,248,853,,25,0.7,"
Mar 02 "
47,2020-04-02,Colombia,"1,065",+159,17 ,+1,39,"1,009",47,21,0.3,"
Mar 05 "
48,2020-04-02,Serbia,"1,060",+160,28 ,+5,42,990,62,121,3,"
Mar 05 "
49,2020-04-02,Singapore,"1,000",+74,3 ,,245,752,24,171,0.5,"
Jan 22 "
50,2020-04-02,Croatia,963,+96,6 ,,73,884,34,235,1,"
Feb 24 "
51,2020-04-02,Algeria,847,+131,58 ,+14,61,728,,19,1,"
Feb 24 "
52,2020-04-02,Slovenia,841,+39,15 ,,10,816,31,405,7,"
Mar 03 "
53,2020-04-02,Qatar,835,+54,2 ,,71,762,37,290,0.7,"
Feb 28 "
54,2020-04-02,UAE,814,+150,8 ,+2,61,745,2,82,0.8,"
Jan 28 "
55,2020-04-02,Ukraine,794,+149,20 ,+3,13,761,,18,0.5,"
Mar 02 "
56,2020-04-02,Egypt,779,+69,52 ,+6,179,548,,8,0.5,"
Feb 13 "
57,2020-04-02,Estonia,779,+34,5 ,+1,33,741,15,587,4,"
Feb 26 "
58,2020-04-02,Hong Kong,766,+51,4 ,,147,615,5,102,0.5,"
Jan 22 "
59,2020-04-02,Iraq,728,+34,52 ,+2,182,494,,18,1,"
Feb 21 "
60,2020-04-02,Diamond Princess,712,,11 ,,603,98,15,,,"
Feb 04 "
61,2020-04-02,New Zealand,708,+61,1 ,,83,624,2,147,0.2,"
Feb 27 "
62,2020-04-02,Morocco,654,+37,39 ,+3,29,586,1,18,1,"
Mar 01 "
63,2020-04-02,Lithuania,581,+44,8 ,,7,566,11,213,3,"
Feb 27 "
64,2020-04-02,Armenia,571,+39,4 ,+1,31,536,30,193,1,"
Feb 29 "
65,2020-04-02,Bahrain,569,+2,4 ,,337,228,3,334,2,"
Feb 23 "
