,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
175,2020-04-27,Syria,43,,3 ,,19,21,,2,0.2,,,Asia
176,2020-04-27,Eritrea,39,, ,,13,26,,11,,,,Africa
177,2020-04-27,Saint Martin,38,,3 ,,24,11,3,983,78,,,North America
178,2020-04-27,Mongolia,38,, ,,10,28,,12,,"7,292","2,224",Asia
179,2020-04-27,Malawi,36,+2,3 ,,4,29,1,2,0.2,617,32,Africa
180,2020-04-27,Zimbabwe,31,,4 ,,5,22,,2,0.3,"6,395",430,Africa
181,2020-04-27,Angola,27,+1,2 ,,6,19,,0.8,0.06,,,Africa
182,2020-04-27,Antigua and Barbuda,24,,3 ,,11,10,1,245,31,113,"1,154",North America
183,2020-04-27,Timor-Leste,24,, ,,2,22,,18,,322,244,Asia
184,2020-04-27,Botswana,22,,1 ,,,21,,9,0.4,"5,023","2,136",Africa
185,2020-04-27,CAR,19,, ,,10,9,,4,,,,Africa
186,2020-04-27,Laos,19,, ,,7,12,,3,,"1,796",247,Asia
187,2020-04-27,Belize,18,,2 ,,6,10,1,45,5,936,"2,354",North America
188,2020-04-27,Fiji,18,, ,,12,6,,20,,"1,007","1,123",Australia/Oceania
189,2020-04-27,Grenada,18,, ,,7,11,4,160,,175,"1,555",North America
190,2020-04-27,New Caledonia,18,, ,,17,1,1,63,,"3,952","13,842",Australia/Oceania
191,2020-04-27,Curaçao,16,,1 ,,11,4,,98,6,304,"1,853",North America
192,2020-04-27,Dominica,16,, ,,13,3,,222,,383,"5,320",North America
193,2020-04-27,Namibia,16,, ,,8,8,,6,,704,277,Africa
194,2020-04-27,Saint Kitts and Nevis,15,, ,,2,13,,282,,260,"4,887",North America
195,2020-04-27,Saint Lucia,15,, ,,15,0,,82,,446,"2,429",North America
196,2020-04-27,St. Vincent Grenadines,15,+1, ,,5,10,,135,,108,973,North America
197,2020-04-27,Nicaragua,13,,3 ,,7,3,,2,0.5,,,North America
198,2020-04-27,Falkland Islands,13,, ,,11,2,,"3,736",,353,"101,437",South America
199,2020-04-27,Turks and Caicos,12,+1,1 ,,5,6,,310,26,83,"2,144",North America
200,2020-04-27,Burundi,11,,1 ,,4,6,,0.9,0.08,284,24,Africa
201,2020-04-27,Montserrat,11,,1 ,,2,8,1,"2,204",200,36,"7,212",North America
202,2020-04-27,Greenland,11,, ,,11,0,,194,,"1,200","21,138",North America
203,2020-04-27,Seychelles,11,, ,,6,5,,112,,,,Africa
204,2020-04-27,Gambia,10,,1 ,,8,1,,4,0.4,401,166,Africa
205,2020-04-27,Suriname,10,,1 ,,7,2,,17,2,404,689,South America
206,2020-04-27,MS Zaandam,9,,2 ,,,7,,,,,,
207,2020-04-27,Vatican City,9,, ,,2,7,,"11,236",,,,Europe
208,2020-04-27,Papua New Guinea,8,, ,,,8,,0.9,,604,68,Australia/Oceania
209,2020-04-27,Mauritania,7,,1 ,,6,0,,2,0.2,"1,032",222,Africa
210,2020-04-27,Bhutan,7,, ,,4,3,,9,,"9,829","12,738",Asia
211,2020-04-27,British Virgin Islands,6,,1 ,,3,2,,198,33,,,North America
212,2020-04-27,St. Barth,6,, ,,6,0,,607,,,,North America
213,2020-04-27,South Sudan,6,, ,,,6,,0.5,,,,Africa
214,2020-04-27,Western Sahara,6,, ,,5,1,,10,,,,Africa
215,2020-04-27,Caribbean Netherlands,5,, ,,,5,,191,,110,"4,195",North America
216,2020-04-27,Sao Tome and Principe,4,, ,,,4,,18,,19,87,Africa
217,2020-04-27,Anguilla,3,, ,,3,0,,200,,,,North America
218,2020-04-27,Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America
219,2020-04-27,Yemen,1,, ,,1,0,,0.03,,120,4,Asia
220,2020-04-27,Total:,"483,226","+10,951","17,588",+345,"236,575","229,063","5,981",,,,,Asia
221,2020-04-27,Total:,"1,090,796","+26,193","61,549","+1,594","168,606","860,641","15,449",,,,,North America
222,2020-04-27,Total:,"1,301,271","+24,463","123,997","+2,112","446,464","730,810","24,907",,,,,Europe
223,2020-04-27,Total:,"144,174","+6,254","6,730",+441,"51,611","85,833","9,772",,,,,South America
224,2020-04-27,Total:,"8,290",+4,102,+1,"6,838","1,350",46,,,,,Australia/Oceania
225,2020-04-27,Total:,"33,998","+1,341","1,468",+39,"10,575","21,955",138,,,,,Africa
226,2020-04-27,Total:,721,,15,,645,61,4,,,,,
227,2020-04-27,Total:,"3,062,476","+69,206","211,449","+4,532","921,314","1,929,713","56,297",392.9,27.1,,,All
